2023-03-02 01:51:36,439 INFO    MainThread:23655 [wandb_setup.py:_flush():68] Configure stats pid to 23655
2023-03-02 01:51:36,440 INFO    MainThread:23655 [wandb_setup.py:_flush():68] Loading settings from /root/.config/wandb/settings
2023-03-02 01:51:36,440 INFO    MainThread:23655 [wandb_setup.py:_flush():68] Loading settings from /workspace/TAnoGAN/wandb/settings
2023-03-02 01:51:36,440 INFO    MainThread:23655 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-03-02 01:51:36,440 INFO    MainThread:23655 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': 'main.py'}
2023-03-02 01:51:36,440 INFO    MainThread:23655 [wandb_init.py:_log_setup():492] Logging user logs to /workspace/TAnoGAN/wandb/run-20230302_015136-w6dsh33o/logs/debug.log
2023-03-02 01:51:36,440 INFO    MainThread:23655 [wandb_init.py:_log_setup():493] Logging internal logs to /workspace/TAnoGAN/wandb/run-20230302_015136-w6dsh33o/logs/debug-internal.log
2023-03-02 01:51:36,440 INFO    MainThread:23655 [wandb_init.py:init():532] calling init triggers
2023-03-02 01:51:36,440 INFO    MainThread:23655 [wandb_init.py:init():538] wandb.init called with sweep_config: {}
config: {'EXP_NAME': 'Train_D_G_w60_step1_hid100', 'MODE': {'Train_model': True, 'Optimize': True}, 'SEED': 2, 'save_dir': './saved_models', 'DATASET': {'window_size': 60, 'hidden_dim': 100, 'step_size': 1, 'in_dim': 1, 'scaler': 'standard', 'data_dir': './NAB/data/realKnownCause/ambient_temperature_system_failure.csv', 'label_dir': './NAB/labels/combined_windows.json', 'TRAIN_RATIO': 0.7, 'VAL_RATIO': 0.1, 'batch_size': 32, 'split': True}, 'TRAIN': {'lr': 0.0002, 'epochs': 20, 'log_interval': 1, 'eval_interval': 10, 'use_wandb': True}, 'Saved_models': {'gen_dir': 'gen_best_model.pt', 'dis_dir': 'dis_best_model.pt', 'lastascheckpoint': False, 'last_gen_dir': 'gen_last_model.pt', 'last_dis_dir': 'dis_last_model.pt'}, 'Optimize': {'lambda': 0.1, 'iterations': 50}}
2023-03-02 01:51:36,440 INFO    MainThread:23655 [wandb_init.py:init():588] starting backend
2023-03-02 01:51:36,440 INFO    MainThread:23655 [wandb_init.py:init():592] setting up manager
2023-03-02 01:51:36,441 INFO    MainThread:23655 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-02 01:51:36,442 INFO    MainThread:23655 [wandb_init.py:init():599] backend started and connected
2023-03-02 01:51:36,444 INFO    MainThread:23655 [wandb_init.py:init():687] updated telemetry
2023-03-02 01:51:36,444 INFO    MainThread:23655 [wandb_init.py:init():727] communicating run to backend with 60.0 second timeout
2023-03-02 01:51:37,057 INFO    MainThread:23655 [wandb_run.py:_on_init():2134] communicating current version
2023-03-02 01:51:37,098 INFO    MainThread:23655 [wandb_run.py:_on_init():2143] got version response 
2023-03-02 01:51:37,098 INFO    MainThread:23655 [wandb_init.py:init():775] starting run threads in backend
2023-03-02 01:51:37,127 INFO    MainThread:23655 [wandb_run.py:_console_start():2114] atexit reg
2023-03-02 01:51:37,127 INFO    MainThread:23655 [wandb_run.py:_redirect():1969] redirect: SettingsConsole.WRAP_RAW
2023-03-02 01:51:37,127 INFO    MainThread:23655 [wandb_run.py:_redirect():2034] Wrapping output streams.
2023-03-02 01:51:37,127 INFO    MainThread:23655 [wandb_run.py:_redirect():2059] Redirects installed.
2023-03-02 01:51:37,127 INFO    MainThread:23655 [wandb_init.py:init():817] run started, returning control to user process
2023-03-02 01:56:57,853 WARNING MsgRouterThr:23655 [router.py:message_loop():77] message_loop has been closed
